date,location_key,new_deceased,new_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_hospitalized_patients,new_intensive_care_patients,cumulative_hospitalized_patients,cumulative_intensive_care_patients
2022-01-01,BR,49,3986,619105,,3802,138491542,8964,300313209,278,165,1195703,382247
2022-01-02,BR,28,1721,619133,,7201,138512227,27886,300341095,290,177,1195993,382424
2022-01-03,BR,76,11850,619209,,28738,138636526,153037,300494132,731,185,1196724,382609
2022-01-04,BR,175,18759,619384,,190143,138806879,360496,300854628,668,192,1197392,382801
2022-01-05,BR,129,27267,619513,,47023,138920944,161088,301015716,609,192,1198001,382993
2022-01-06,BR,128,35826,619641,,58173,139045557,182786,301198502,532,165,1198533,383158
2022-01-07,BR,181,63292,619822,,39638,139310363,304444,301502946,456,122,1198989,383280
2022-01-08,BR,115,49303,619937,,27433,139377398,94468,301597414,204,98,1199193,383378
2022-01-09,BR,44,24382,619981,,11417,139407999,42018,301639432,152,84,1199345,383462
2022-01-10,BR,110,34788,620091,,93355,139747810,433166,302072598,410,76,1199755,383538
2022-01-11,BR,147,70765,620238,,49749,139881244,183183,302255781,289,76,1200044,383614
2022-01-12,BR,133,87471,620371,,1293,140016395,136444,302392225,227,56,1200271,383670
2022-01-13,BR,174,97986,620545,,59836,140261112,304553,302696778,193,41,1200464,383711
2022-01-14,BR,251,112286,620796,66119400,34194,140383389,156471,302853249,181,32,1200645,383743
2022-01-15,BR,175,48520,620971,,41010,140471978,129599,302982848,79,35,1200724,383778
2022-01-16,BR,74,24934,621045,,179680,141299733,1007435,303990283,45,28,1200769,383806
2022-01-17,BR,121,74134,621166,66120342,231150,142212701,1144118,305134401,146,30,1200915,383836
2022-01-18,BR,351,137103,621517,,79073,142548955,415327,305549728,147,29,1201062,383865
2022-01-19,BR,338,204854,621855,,134404,142711392,296841,305846569,122,24,1201184,383889
2022-01-20,BR,350,168495,622205,,188056,142998343,475007,306321576,126,25,1201310,383914
2022-01-21,BR,358,166539,622563,,123627,143176637,301921,306623497,90,14,1201400,383928
2022-01-22,BR,238,157393,622801,,193702,143484324,501389,307124886,37,11,1201437,383939
2022-01-23,BR,296,135080,623097,66606202,35432,143519370,70478,307195364,22,12,1201459,383951
2022-01-24,BR,259,83340,623356,,254349,143873208,608187,307803551,84,12,1201543,383963
2022-01-25,BR,487,183722,623843,,132695,144092956,352443,308155994,82,18,1201625,383981
2022-01-26,BR,570,224567,624413,,384446,144192294,483784,308639778,83,14,1201708,383995
2022-01-27,BR,672,228954,625085,,342618,144450810,601134,309240912,86,13,1201794,384008
2022-01-28,BR,799,269968,625884,,354194,144604506,507890,309748802,41,15,1201835,384023
2022-01-29,BR,640,179816,626524,,215831,144667367,278692,310027494,17,11,1201852,384034
2022-01-30,BR,330,134175,626854,,39585,144680642,52860,310080354,20,4,1201872,384038
2022-01-31,BR,284,77947,627138,67204366,462952,144810359,592669,310673023,85,13,1201957,384051
2022-02-01,BR,929,193465,628067,,291024,144919855,400520,311073543,67,11,1202024,384062
2022-02-02,BR,893,172903,628960,,316761,145134094,531000,311604543,69,9,1202093,384071
2022-02-03,BR,1041,298408,630001,,307200,145366545,539651,312144194,72,15,1202165,384086
2022-02-04,BR,493,184311,630494,,556980,145535656,726091,312870285,33,10,1202198,384096
2022-02-05,BR,1308,197442,631802,,342385,145612139,418868,313289153,24,10,1202222,384106
2022-02-06,BR,391,59737,632193,,77383,145714333,179577,313468730,9,2,1202231,384108
2022-02-07,BR,428,66583,632621,67689970,456115,145838536,580318,314049048,50,7,1202281,384115
2022-02-08,BR,1189,177027,633810,,151766,145988677,301907,314350955,43,5,1202324,384120
2022-02-09,BR,1264,178814,635074,,119364,146329755,460442,314811397,47,2,1202371,384122
2022-02-10,BR,943,164066,636017,,399235,146694534,764014,315575411,81,4,1202452,384126
2022-02-11,BR,1135,166009,637152,,489378,146912866,707710,316283121,30,4,1202482,384130
2022-02-12,BR,896,140234,638048,,211525,147012920,311579,316594700,13,2,1202495,384132
2022-02-13,BR,314,54220,638362,,93692,147155512,236284,316830984,4,1,1202499,384133
2022-02-14,BR,473,58540,638835,69640999,219871,147314691,379050,317210034,35,1,1202534,384134
2022-02-15,BR,854,120549,639689,,226643,147394141,306093,317516127,46,6,1202580,384140
2022-02-16,BR,1085,147734,640774,,272099,147563971,441929,317958056,48,2,1202628,384142
2022-02-17,BR,1128,131049,641902,,252277,147744020,432326,318390382,44,2,1202672,384144
2022-02-18,BR,1127,121027,643029,,712979,148062460,1031419,319421801,28,2,1202700,384146
2022-02-19,BR,851,108725,643880,,203862,148251978,393380,319815181,8,2,1202708,384148
2022-02-20,BR,406,40625,644286,,77205,148302645,127872,319943053,3,1,1202711,384149
2022-02-21,BR,318,37339,644604,,176004,148449102,322461,320265514,47,0,1202758,384149
2022-02-22,BR,816,105776,645420,,213529,148570908,335335,320600849,42,1,1202800,384150
2022-02-23,BR,999,133563,646419,,278403,148857152,564647,321165496,33,3,1202833,384153
2022-02-24,BR,971,93757,647390,,265603,149106386,514837,321680333,41,1,1202874,384154
2022-02-25,BR,770,91595,648160,,262706,149362074,518394,322198727,40,0,1202914,384154
2022-02-26,BR,753,73808,648913,,93405,149455066,186397,322385124,7,0,1202921,384154
2022-02-27,BR,221,24054,649134,,33412,149504349,82695,322467819,0,0,1202921,384154
2022-02-28,BR,199,19516,649333,,160027,149827740,483418,322951237,12,1,1202933,384155
2022-03-01,BR,297,23545,649630,,111893,149876685,160838,323112075,22,0,1202955,384155
2022-03-02,BR,370,30995,650000,69951873,63390,150001770,188475,323300550,9,0,1202964,384155
2022-03-03,BR,578,61870,650578,,61431,150164314,223975,323524525,21,0,1202985,384155
2022-03-04,BR,677,69769,651255,,122675,150357085,315446,323839971,37,0,1203022,384155
2022-03-05,BR,672,59253,651927,,88887,150498275,230077,324070048,0,0,1203022,384155
2022-03-06,BR,216,15961,652143,,40307,150524931,66963,324137011,2,1,1203024,384156
2022-03-07,BR,198,20456,652341,,116710,150712422,304201,324441212,51,0,1203075,384156
2022-03-08,BR,488,68893,652829,,116318,150894902,298798,324740010,48,3,1203123,384159
